counter_region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21,3/15/21,3/16/21,3/17/21,3/18/21,3/19/21,3/20/21,3/21/21,3/22/21,3/23/21,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,4/14/21,4/15/21,4/16/21,4/17/21,4/18/21,4/19/21,4/20/21,4/21/21,4/22/21,4/23/21,4/24/21,4/25/21,4/26/21,4/27/21,4/28/21,4/29/21,4/30/21,5/1/21,5/2/21,5/3/21,5/4/21,5/5/21,5/6/21,5/7/21,5/8/21,5/9/21,5/10/21,5/11/21,5/12/21,5/13/21,5/14/21,5/15/21,5/16/21,5/17/21,5/18/21,5/19/21,5/20/21,5/21/21,5/22/21,5/23/21,5/24/21,5/25/21,5/26/21,5/27/21,5/28/21,5/29/21,5/30/21,5/31/21,6/1/21,6/2/21,6/3/21,6/4/21,6/5/21,6/6/21,6/7/21,6/8/21,6/9/21,6/10/21,6/11/21,6/12/21,6/13/21,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21,10/1/21,10/2/21,10/3/21,10/4/21,10/5/21,10/6/21,10/7/21,10/8/21,10/9/21,10/10/21,10/11/21,10/12/21,10/13/21,10/14/21,10/15/21,10/16/21,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,11/1/21,11/2/21,11/3/21,11/4/21,11/5/21,11/6/21,11/7/21,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21/21,11/22/21,11/23/21,11/24/21,11/25/21,11/26/21,11/27/21,11/28/21,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21,12/5/21,12/6/21,12/7/21,12/8/21,12/9/21,12/10/21,12/11/21,12/12/21,12/13/21,12/14/21,12/15/21,12/16/21,12/17/21,12/18/21,12/19/21,12/20/21,12/21/21,12/22/21,12/23/21,12/24/21,12/25/21
Australia,0,0,0,0,4,5,5,6,9,9,12,12,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,27,30,39,52,55,60,63,76,91,107,128,128,200,250,297,377,452,568,681,791,1071,1549,1682,2044,2364,2810,3143,3640,3984,4361,4559,4862,5116,5330,5550,5687,5797,5895,6010,6108,6215,6303,6315,6351,6415,6440,6462,6522,6568,6610,6623,6645,6652,6662,6677,6694,6714,6721,6744,6752,6766,6778,6799,6822,6847,6875,6894,6913,6918,6939,6948,6970,6980,6989,7019,7035,7044,7054,7068,7072,7081,7095,7099,7114,7114,7126,7139,7150,7165,7184,7192,7202,7221,7229,7240,7247,7252,7259,7265,7267,7274,7285,7289,7294,7320,7335,7347,7370,7391,7409,7411,7461,7474,7492,7521,7558,7595,7601,7686,7764,7834,7920,8001,8066,8260,8443,8583,8755,8886,9056,9374,9553,9797,9980,10251,10487,10810,11233,11441,11802,12069,12428,12894,13302,13595,13950,14403,14935,15303,15582,16298,16903,17280,17895,18318,18730,19445,19890,20272,20698,21084,21397,21713,22127,22358,22742,23035,23287,23558,23773,23989,24236,24407,24602,24811,24915,25053,25204,25322,25448,25547,25670,25746,25819,25923,26049,26136,26207,26278,26321,26373,26465,26524,26564,26607,26651,26692,26739,26778,26813,26861,26885,26898,26912,26942,26972,26980,27000,27016,27040,27044,27055,27078,27096,27109,27121,27135,27148,27173,27181,27206,27226,27244,27263,27285,27310,27337,27357,27371,27378,27390,27399,27405,27443,27458,27476,27495,27513,27525,27539,27553,27565,27579,27585,27595,27601,27610,27622,27630,27644,27652,27658,27665,27669,27671,27675,27676,27682,27711,27749,27758,27777,27785,27792,27806,27821,27834,27843,27853,27865,27873,27886,27892,27902,27912,27923,27939,27949,27956,27965,27972,27987,27993,28000,28011,28025,28030,28037,28048,28060,28072,28093,28126,28168,28198,28219,28237,28262,28274,28297,28308,28337,28349,28381,28405,28425,28460,28484,28504,28517,28536,28546,28571,28582,28595,28614,28634,28650,28660,28669,28689,28708,28721,28731,28740,28749,28755,28760,28766,28777,28780,28786,28794,28799,28806,28811,28818,28823,28829,28838,28842,28848,28851,28857,28860,28871,28879,28887,28892,28898,28900,28905,28911,28912,28918,28920,28926,28930,28937,28939,28947,28957,28965,28970,28978,28986,28996,29007,29021,29029,29034,29046,29061,29074,29090,29102,29112,29117,29130,29137,29154,29166,29183,29192,29196,29206,29211,29221,29230,29239,29252,29259,29276,29296,29304,29322,29333,29341,29348,29357,29365,29379,29385,29390,29396,29405,29419,29429,29450,29469,29484,29499,29519,29533,29556,29576,29594,29638,29653,29663,29680,29717,29750,29773,29798,29811,29824,29838,29850,29865,29884,29893,29906,29922,29931,29938,29946,29955,29957,29964,29975,29978,29983,29992,29995,29999,30003,30007,30019,30029,30046,30063,30074,30083,30096,30105,30118,30124,30137,30141,30157,30173,30191,30205,30210,30225,30228,30234,30248,30262,30273,30286,30301,30309,30322,30331,30355,30366,30380,30404,30424,30457,30499,30528,30560,30602,30643,30684,30734,30753,30804,30831,30861,30903,30951,31015,31100,31221,31323,31429,31513,31626,31771,31899,32016,32120,32266,32426,32582,32753,32918,33082,33266,33473,33726,33909,34130,34383,34612,34836,35089,35391,35698,36051,36328,36630,37010,37377,37749,38165,38658,39097,39615,40097,40774,41521,42228,43119,44026,44920,45754,46725,47840,48816,49935,51256,52611,53868,55093,56560,58208,59949,61619,63155,64621,66317,68042,69912,71987,73603,75323,76901,78544,80400,82200,84056,85628,87128,88710,90369,92178,93942,95807,97559,99031,100911,102723,105123,107181,109516,111388,113411,115800,117826,120042,122566,125081,127471,129567,131415,133444,136188,138720,141031,143204,145263,147301,149398,151942,154489,156372,158546,160230,162016,163866,165904,167790,169379,170564,172030,173165,174276,175813,177393,178927,180314,181578,182870,184071,185627,187041,188493,189608,190603,191617,192845,194112,195617,196977,198442,199649,200651,202115,203642,205269,206749,207984,209139,210238,211655,213357,214879,216587,217836,219121,220555,222260,223914,225625,227382,228925,230768,232738,235547,238970,242772,246789,250651,254682,259174,264705,273062,281280,291135,300594
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,15452,15531,15558,15597,15621,15650,15684,15752,15774,15833,15871,15882,15961,15997,16058,16109,16201,16242,16269,16321,16353,16404,16436,16486,16503,16539,16557,16591,16628,16655,16685,16731,16733,16759,16771,16805,16843,16898,16902,16968,16979,17005,17034,17064,17078,17109,17135,17189,17203,17223,17271,17323,17341,17380,17408,17449,17477,17522,17580,17654,17723,17766,17873,17941,18050,18165,18280,18365,18421,18513,18615,18709,18783,18897,18948,19021,19154,19270,19439,19573,19655,19743,19827,19929,20099,20214,20338,20472,20558,20677,20850,20955,21130,21212,21304,21385,21481,21566,21696,21837,21919,22033,22106,22245,22439,22594,22876,23179,23370,23534,23829,24084,24431,24762,25062,25253,25495,25706,26033,26361,26590,26985,27166,27438,27642,27969,28372,28729,29087,29271,29561,30081,30583,31247,31827,32696,33159,33541,34305,35073,35853,36661,37474,38095,38658,39303,39984,40816,41500,42214,42876,43432,44041,44813,45686,46374,47432,48146,48896,49819,50848,52057,53188,54423,55319,56298,57326,58672,60224,61387,63134,64806,65927,67451,69409,71844,74415,78029,80811,83267,86102,89496,93949,99576,104925,109881,114016,118198,125099,132515,138979,147220,153153,158746,164866,172380,181642,191228,198291,203956,208613,214597,221688,228683,235351,241962,247188,250333,254710,260512,266038,270992,275661,279708,282456,285489,289461,293430,297245,300689,303430,305693,308070,311002,313688,316581,319822,322463,325051,327679,330343,332828,334913,337209,338854,340373,342226,344357,347204,349055,350484,351892,353484,355352,357902,360815,362911,364302,365768,367410,369721,372190,374730,376793,379071,380722,382258,383833,385750,389260,390788,392511,393778,394939,396425,398096,399798,401886,403512,404714,405723,407140,408781,410230,411730,413208,414398,415522,416763,418283,419801,421189,422522,423839,424896,426093,427562,429139,430870,432303,433487,434712,436139,437874,439841,441659,443536,445374,446644,448371,450376,452767,454860,457317,459440,460849,462769,465322,467646,470314,472871,475070,476980,479391,481919,484916,488042,491065,493568,495464,497889,501224,504581,508096,511440,514153,516565,519980,523269,526393,530288,533786,536465,539541,542542,546229,549592,552729,556012,558755,560972,562907,566008,568914,571616,574755,577007,578950,581263,584205,586883,589299,591347,593423,595540,597566,600089,602494,604823,606954,608979,610545,612170,614510,616739,618870,620485,622110,623201,624595,626239,627484,628817,630050,631076,631896,632766,633960,634893,635780,636424,637097,637573,638155,639054,639616,640293,640876,641380,641740,642138,642583,643168,643709,644207,644586,644815,645152,645552,645834,646167,646438,646800,647079,647322,647688,647971,648187,648387,648620,648732,648849,649002,649181,649309,649445,649576,649670,649728,649845,649922,650016,650192,650261,650324,650353,650412,650474,650569,650662,650737,650817,650901,651008,651128,651291,651453,651612,651804,652022,652354,652660,653001,653412,653735,653998,654314,654745,655197,655589,655938,656270,656582,656949,657501,658004,658518,659056,659508,659872,660262,660854,661359,661922,662529,663082,663532,664133,665035,665885,666890,667841,668732,669506,670372,671593,672819,674077,675405,676526,677603,678605,680179,681617,683219,684541,685956,687076,688305,690153,691663,693416,695131,696905,697510,698948,701216,703572,705913,708173,710030,711573,713269,715893,718091,720455,722357,724035,725434,726674,728696,730403,732157,734302,735890,737202,738763,741046,743095,744964,746380,748825,750229,751139,753832,755797,757675,759543,761218,762538,763928,766542,768711,771143,773540,775782,777679,780269,783996,787644,791226,794982,798606,801456,804825,809086,813334,819195,825297,830981,835504,840902,847408,856002,865390,875333,883887,892065,899777,911175,923150,934948,948100,959652,971541,981904,996320,1011465,1027274,1042571,1056613,1070419,1079932,1095297,1108889,1121134,1132805,1143283,1151809,1159995,1170362,1179244,1185982,1193286,1198478,1203103,1207336,1212999,1217436,1221095,1225555,1228034,1232204,1235063,1239287,1242333,1245232,1247399,1249641,1251433,1253961,1256230,1258377,1260751,1262836
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,48519,49032,49517,49906,50267,50509,50781,51420,52011,52596,53081,53449,53779,53981,54288,54644,54989,55280,55559,55791,55983,56235,56511,56810,57092,57342,57455,57592,57849,58061,58186,58381,58517,58615,58685,58767,58907,59072,59226,59348,59437,59569,59711,59819,59918,60029,60100,60155,60244,60348,60476,60550,60550,60550,60810,60898,61007,61106,61209,61295,61361,61427,61509,61598,61727,61838,62016,62058,62058,62123,62210,62357,62469,62707,62707,62781,62872,63238,63499,63706,63706,64094,64258,64627,64847,65199,65727,66026,66428,66662,67335,68006,68751,69402,69849,70314,70648,71158,72016,72784,73401,74152,74620,75008,75647,76191,77113,77869,78323,78534,78897,79479,80178,80894,81468,81936,82092,82447,83030,83500,83952,84599,85042,85236,85487,85911,86544,87174,87825,88367,88769,89141,89691,90568,91537,92478,93455,94306,94795,95948,97976,99649,100748,102295,103392,105226,106887,108768,110976,112803,114179,115353,117115,118452,121059,124234,127623,130235,132203,134291,137868,143596,148981,156931,162258,165880,173240,181511,191959,202151,213115,222253,230480,240159,253386,270132,287700,305409,321031,333718,347289,368337,392258,412314,429229,441018,447355,452541,468213,479341,488044,494168,500789,503182,507475,515391,520393,525012,531280,535939,537871,540605,545787,550264,553680,556904,558779,559902,561803,564967,567532,570829,574448,576599,577345,579212,582252,584857,587439,589942,591756,592615,594572,597643,600397,600397,603159,608137,609211,611422,615058,618204,621039,623760,625930,626911,629109,632321,634904,637246,638030,638877,639734,641411,644242,646496,648289,649169,650011,650887,652735,655732,658655,660703,662694,664263,665223,667322,670249,672886,675089,677209,678839,679771,681250,684256,686827,689271,691854,693666,694858,696642,699662,702437,705120,707837,710153,711417,713271,716395,718847,721432,723870,725610,726483,728334,730951,733100,735220,737115,738631,739488,741205,743882,746302,749739,752379,754473,755594,757696,760809,763885,766654,769414,771511,772294,774344,777608,780251,783010,785809,787891,789008,791171,794605,798108,801723,805321,808283,809861,813026,818142,822801,827941,827941,837006,839238,842775,849090,854608,860731,866063,870757,872936,876842,882453,887920,892585,897474,900996,902964,904673,908212,913057,917917,922487,925476,927229,930603,935316,939309,943213,947000,949996,951626,955056,960169,964526,968107,972041,974418,976088,979034,982959,986622,990229,993434,995562,996896,999627,1003746,1007264,1010987,1014351,1016609,1017876,1020332,1023583,1026473,1028104,1030071,1031923,1032895,1034714,1038514,1041706,1044612,1047128,1048881,1049822,1050677,1052652,1055543,1057903,1059763,1061200,1062001,1063499,1065358,1066957,1068406,1069874,1070802,1071271,1072175,1073358,1074204,1074988,1075765,1076338,1076579,1077087,1077758,1078251,1078251,1079084,1079415,1079640,1080035,1081061,1081908,1082476,1082476,1082476,1083478,1084550,1085131,1085885,1086508,1086508,1086508,1088363,1089105,1091095,1092477,1093700,1093700,1093700,1097029,1098332,1100616,1102069,1103413,1103413,1103413,1107208,1108675,1108675,1112161,1112161,1113465,1113465,1117697,1119030,1121089,1122951,1124715,1124715,1124715,1129018,1130758,1132934,1134907,1136726,1136726,1136726,1141379,1143127,1145736,1147855,1149869,1149869,1149869,1154879,1156620,1159366,1161558,1163726,1163726,1163726,1168602,1170213,1173108,1175575,1177909,1177909,1177909,1182810,1184664,1187506,1189710,1192008,1192008,1192008,1196656,1198503,1201056,1203326,1205516,1205516,1205516,1210381,1212106,1215114,1217473,1219814,1219814,1219814,1224885,1226682,1229236,1231523,1233723,1233723,1233723,1238358,1240232,1242821,1244954,1247197,1247197,1247197,1251857,1253587,1256191,1258688,1261102,1261102,1261102,1266562,1269002,1272669,1276221,1279869,1279869,1279869,1289033,1292887,1299439,1305678,1312360,1312360,1312360,1328202,1333947,1342718,1351913,1360650,1360650,1360650,1360650,1360650,1393358,1403548,1403548,1414463,1414463,1438830,1438830,1463548,1463548,1484712,1484712,1484712,1512474,1524862,1543299,1559998,1581500,1581500,1581500,1623560,1635675,1659025,1679861,1701633,1701633,1701633,1749469,1766035,1786444,1809557,1827467,1827467,1827467,1868906,1879784,1898498,1914527,1929772,1929772,1929772,1959193,1968269,1980120,1980120,1990160,1999764,1999764,2017154,2017447,2023285,2030878,2038111,2038111
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,43079,45757,50036,54043,59324,63100,67446,73235,79685,87187,92202,97100,101826,108620,115455,126611,135773,146894,156061,162699,169594,178214,190137,203165,220291,233511,241080,255368,271885,294624,312761,334568,351565,366033,378840,395167,415366,443703,470593,502914,516137,531286,562963,589048,621002,653103,676893,694881,712219,743917,777707,806399,830681,851911,868705,893322,930305,961230,986750,1042809,1106332,1086536,1114728,1154255,1195288,1236752,1281636,1318556,1351439,1372989,1412669,1459494,1503895,1546935,1580502,1605695,1630149,1676848,1722098,1765060,1809371,1844318,1867976,1890869,1933791,1973933,2017616,2052234,2077987,2101399,2124152,2171079,2237229,2294555,2351458,2398993,2421666,2449677,2503681,2559132,2617187,2670451,2711992,2736058,2756164,2812447,2868616,2922605,2972008,3018397,3041127,3067633,3118153,3173107,3233820,3283227,3320108,3343114,3367511,3416775,3465378,3508352,3540678,3586586,3608459,3631972,3678279,3726431,3768691,3812779,3850070,3864604,3914829,3959158,4005611,4052420,4091959,4125816,4140488,4150004,4168790,4205877,4246638,4288171,4318971,4332991,4353602,4388154,4425451,4461856,4501587,4531145,4546587,4564222,4599189,4631915,4663930,4696240,4720958,4734745,4751616,4784464,4817365,4853148,4885966,4908974,4917689,4943742,4975268,5006206,5033036,5060769,5084513,5096704,5105340,5118699,5146543,5176969,5205565,5226341,5238392,5254971,5278737,5304593,5329357,5359358,5384342,5396596,5415207,5445189,5473540,5500240,5524593,5537763,5547951,5556200,5570782,5594098,5617943,5638143,5655887,5666389,5679803,5726227,5752474,5786393,5825111,5851389,5865295,5881039,5916529,5951281,5987143,6025913,6056135,6074061,6092219,6126752,6171380,6212265,6245773,6297258,6318270,6341965,6393950,6442425,6492564,6540235,6580517,6606947,6633971,6681767,6736358,6789908,6842458,6884782,6906811,6934191,6982223,7048347,7117046,7169899,7218141,7242625,7270270,7326935,7372614,7430825,7452008,7469541,7487155,7514592,7570963,7626563,7681032,7703971,7719324,7736514,7761553,7819636,7882143,7970112,8029698,8081091,8110118,8140865,8205289,8265116,8333445,8402542,8460987,8492403,8521336,8583485,8647962,8706912,8763517,8821815,8850334,8880864,8942472,9007244,9068004,9127507,9180621,9208521,9237011,9293289,9347703,9404810,9456500,9502810,9528972,9557558,9608775,9669883,9723487,9772429,9817285,9848008,9873816,9939100,9986325,10039804,10091961,10144332,10173817,10205663,10269248,10334634,10402913,10466308,10524726,10558091,10598476,10658171,10731070,10807092,10879597,10946501,11028185,11064770,11136064,11217531,11294602,11377073,11447416,11490864,11535178,11620823,11709475,11797401,11885660,11958814,12006259,12062229,12147437,12238343,12336604,12416950,12498653,12545611,12588226,12674667,12763392,12851165,12920540,12959895,12992213,13034887,13120019,13208715,13297270,13385380,13451932,13491107,13530757,13613418,13688024,13759207,13843594,13912159,13950997,13987519,14060162,14134150,14182258,14251539,14315320,14348961,14381359,14457203,14534482,14603096,14675104,14733396,14762684,14801673,14871208,14947580,15019870,15096714,15158475,15191195,15227496,15297602,15373850,15453880,15531794,15599145,15636709,15672307,15747112,15827375,15910762,15987393,16055289,16093784,16131264,16205305,16285550,16350081,16403969,16479832,16521281,16557888,16636801,16733079,16809146,16852317,16913984,16954327,16994043,17049756,17134623,17225867,17312179,17385952,17422936,17465628,17552769,17639297,17715789,17811233,17889167,17933754,17979164,18103412,18180808,18257432,18332493,18393158,18425138,18457197,18523153,18570296,18631426,18694998,18748731,18774193,18802128,18863811,18917978,18972125,19030577,19074698,19093845,19113078,19161644,19217741,19272139,19315054,19364084,19380831,19397587,19428736,19484572,19533253,19640373,19675021,19693277,19714719,19758310,19805359,19846680,19887058,19922146,19942499,19961374,19993870,20034407,20073891,20116562,20156095,20169989,20185531,20220993,20256436,20292294,20325289,20354591,20368358,20386548,20425554,20465725,20501738,20535951,20561273,20575218,20590872,20622681,20652660,20683583,20711339,20734286,20745549,20758350,20785196,20810944,20837967,20861571,20881896,20894557,20904729,20918333,20932515,20965338,20981793,20995555,21003416,21012064,21025635,21038911,21074358,21109695,21234573,21243748,21253033,21268413,21300996,21325913,21344578,21358441,21367297,21376642,21393526,21410411,21432362,21450424,21462810,21471963,21483481,21505626,21524172,21538788,21557323,21572127,21580539,21587532,21594887,21603259,21618491,21632789,21642550,21648735,21658054,21671287,21686995,21703981,21717379,21729284,21733820,21741647,21754992,21772116,21785802,21798483,21808495,21814625,21819251,21825169,21841479,21854726,21867724,21878897,21884558,21891439,21903249,21918229,21933767,21948366,21957724,21962026,21964769,21971337,21984449,21995851,22008224,22016439,22021527,22025668,22038108,22050362,22062645,22073524,22081833,22085369,22089858,22100143,22112425,22124356,22134978,22142385,22147078,22153095,22163231,22173363,22182116,22189181,22191865,22193480,22196250,22200629,22205707,22209368,22213731,22216112,22217570,22220209,22223943,22227169,22230943,22234623,22238369
