,Country,Total_over_65,Female_per,Physician,Underweight_total,Alcohol_cons_rec,Alcohol_cons_unrec,Alcohol_consumers_total,Heavy_drinking_total,Doc_num_per,beds,Life_expect_total_60,Dtt_dtp_immun,Dis_to_China,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,FIRST_DATE_INT
7,Germany,21.6874493682811,50.5682013421545,4.2996,0.8,12.985,12.79,79.4,56.3,40.925000000000004,81.4,24.41,93.0,102.9697078143543,73.365,70.291,-0.33488442191170287
10,India,6.57388867644794,48.0363267106575,0.9281,23.3,5.54,5.61,38.8,50.7,7.513333333333334,5.2,18.82,88.0,35.04993720388575,60.127,40.52,0.34950819579430864
39,Indonesia,6.26251338481323,49.6504687615261,0.4651,12.4,0.585,0.22,22.7,33.2,3.426666666666667,9.879999999999999,17.94,81.0,33.74457289790684,55.891,39.443,0.2639591185810572
8,Iran,6.5643545864784505,49.5095665942356,1.5844,3.7,1.02,1.01,3.5,4.8,13.424999999999999,15.52,21.82,99.0,58.09976386515593,70.351,59.85,1.03390081350032
23,Ireland,14.577950522764699,50.3554014787164,3.352,0.8,12.675,12.75,81.3,56.9,34.830000000000005,28.25,24.19,94.0,121.1827928749689,78.208,77.025,-0.13526990841411618
27,Israel,12.4143452715517,50.2270626411451,6.9443,0.9,4.035,4.38,55.0,39.3,65.82111111111112,30.316666666666666,24.9,98.0,76.95641707007019,75.308,68.192,-0.5344989354092896
4,Italy,23.301892999394397,51.3118839212073,8.013,0.8,7.715,8.01,67.8,45.4,78.43222222222221,32.016666666666666,25.04,95.0,99.62454667003038,79.748,73.871,-0.33488442191170287
26,Japan,28.397273070441102,51.174277034228794,2.4796,7.0,7.915,10.09,57.0,54.9,23.7675,131.36666666666665,26.35,97.0,26.6739989641801,79.165,77.661,1.2620316860689906
33,"Korea, South",15.790906369976401,49.93902282390571,2.4082,3.9,9.87,8.45,63.9,58.5,22.259999999999998,118.0,25.8,98.0,16.26380128627288,84.833,82.058,1.518678917708745
38,Malaysia,7.183683716977191,48.616406019675296,1.5358,6.6,0.85,0.93,29.6,35.8,13.82,17.853333333333335,19.5,98.0,30.30874629305897,79.997,78.307,1.4616461995665773
15,Netherlands,20.0348213864685,50.1767827517601,3.7066,0.9,9.58,9.67,72.1,50.0,34.335,33.92,24.08,94.0,165.1773865759544,76.449,70.076,0.06434460508347051
